id,location
0_x_1,0.047691495825
0_y_1,-0.000281705495075
0_x_2,0.091603758625
0_y_2,-0.00172516622725
0_x_3,0.13275626699999998
0_y_3,-0.0022634945239999997
0_x_4,0.17213997725000002
0_y_4,-0.0031993439845
0_x_5,0.21024787574999998
0_y_5,-0.003964569272499999
0_x_6,0.24914162075000001
0_y_6,-0.004660725743
0_x_7,0.283699358
0_y_7,-0.0053327466855
0_x_8,0.32051069050000003
0_y_8,-0.006177743298550001
0_x_9,0.3608357955
0_y_9,-0.0073988475354999994
0_x_10,0.40465425325
0_y_10,-0.0082476830815
0_x_11,0.45299822
0_y_11,-0.009688179058000002
0_x_12,0.506363401
0_y_12,-0.0114564232575
0_x_13,0.56549909825
0_y_13,-0.013521028375
0_x_14,0.6299096762499999
0_y_14,-0.0161496560075
0_x_15,0.70011168075
0_y_15,-0.019325306570000002
0_x_16,0.7766130045
0_y_16,-0.023537416859999997
0_x_17,0.8586557850000001
0_y_17,-0.02830055001
0_x_18,0.946023454
0_y_18,-0.03463241047500001
0_x_19,1.03869933825
0_y_19,-0.042027395725
0_x_20,1.1359467622500001
0_y_20,-0.050770028192500004
0_x_21,1.236762711
0_y_21,-0.060652921240000005
0_x_22,1.3409104644999998
0_y_22,-0.07242995557500001
0_x_23,1.447351603
0_y_23,-0.08489322502
0_x_24,1.5556046874999998
0_y_24,-0.0985744463425
0_x_25,1.6651541500000002
0_y_25,-0.11348215233
0_x_26,1.7749827475000002
0_y_26,-0.1286675424925
0_x_27,1.8850964974999997
0_y_27,-0.14487825304250002
0_x_28,1.9949645575
0_y_28,-0.1608752672
0_x_29,2.10460594
0_y_29,-0.177672799715
0_x_30,3.3861740725000002
0_y_30,-0.410696885475
1_x_1,0.46495186625
1_y_1,0.00046104009349999997
1_x_2,0.9163994605
1_y_2,0.0011690361185000002
1_x_3,1.3538155125000002
1_y_3,0.00211263883955
1_x_4,1.777691485
1_y_4,0.00253515200775
1_x_5,2.1870645250000003
1_y_5,0.00347591253875
1_x_6,2.5813984850000002
1_y_6,0.0039385336425
1_x_7,2.96120215
1_y_7,0.0049018592725
1_x_8,3.3252189425
1_y_8,0.0054274410675
1_x_9,3.6744737625
1_y_9,0.005723625825
1_x_10,4.0079212875
1_y_10,0.0058144273325
1_x_11,4.326359585
1_y_11,0.00643867242225
1_x_12,4.6297584475
1_y_12,0.0063418793975
1_x_13,4.9176271275
1_y_13,0.0062878436925
1_x_14,5.190460427500001
1_y_14,0.006295316165
1_x_15,5.44903863
1_y_15,0.006564636279999999
1_x_16,5.693328899999999
1_y_16,0.006610966645000001
1_x_17,5.924109742499999
1_y_17,0.006706397862500001
1_x_18,6.141582985000001
1_y_18,0.006557594892499999
1_x_19,6.3460800925
1_y_19,0.007204287202500001
1_x_20,6.53850596
1_y_20,0.00687244258725
1_x_21,6.71893664
1_y_21,0.007328506215000002
1_x_22,6.888105922499999
1_y_22,0.007544069057499998
1_x_23,7.0464882125
1_y_23,0.007769039315
1_x_24,7.194596945
1_y_24,0.008251121689999998
1_x_25,7.3321875875
1_y_25,0.0084772506025
1_x_26,7.4602807175
1_y_26,0.009424581247500001
1_x_27,7.57885743
1_y_27,0.010034707849999998
1_x_28,7.68842712
1_y_28,0.010831482174999997
1_x_29,7.7897043875
1_y_29,0.011499957375000001
1_x_30,8.450573335
1_y_30,0.015896532525
2_x_1,0.608442872
2_y_1,-0.00162980585825
2_x_2,1.2028543975
2_y_2,-0.0047227866055000005
2_x_3,1.7827715474999999
2_y_3,-0.00803338454
2_x_4,2.3476694025000002
2_y_4,-0.0120451666325
2_x_5,2.8973058175
2_y_5,-0.0167840111525
2_x_6,3.4309305725000003
2_y_6,-0.0224519828575
2_x_7,3.9490578725
2_y_7,-0.0285869422875
2_x_8,4.450693197500001
2_y_8,-0.03489652015
